"chi_id_autorisation","chp_nom_autorisation","chx_acces_autorisation","chx_source_autorisation"
"4","ecran_coordonnees1","2","88"
"5","taches","2","90"
"6","groupes","2","94"
"8","métier","2","96"
"10","autorisations","2","105"
"12","accès","2","99"
"14","sources","2","103"
"17","tâches","3","90"
"19","coordonnées","3","88"
"21","menus","2","107"
"23","utilisateurs","2","101"
"24","groupes","2","95"
"25","métier","2","97"
"26","accès","2","98"
"27","utilisateurs","2","102"
"28","autorisations","2","106"
"29","sources","2","104"
"30","menus","2","108"
"31","ecran_coordonnees1","2","89"
"32","tâches","3","91"
"33","coordonnées","3","89"
"34","taches","2","91"
